Alpha,2ndmidterm1st, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-108.0 m/s-VLM1-proj_area, , 
           16,     0.1087984, ,            16,     0.0980558, ,            16,     0.1030342, ,            16,     0.1154149, ,            16,     0.1225402, ,          11.5,    0.06264458, , 
         16.5,     0.1174728, ,          16.5,     0.1062621, ,          16.5,      0.111547, ,          16.5,     0.1242215, ,          16.5,     0.1315375, ,            12,    0.06693135, , 
           17,     0.1272355, ,            17,     0.1155756, ,            17,     0.1210633, ,            17,     0.1343108, ,            17,     0.1424811, ,          12.5,    0.07144235, , 
, , , , , , , , , , , , , , ,            13,    0.07616251, , 
, , , , , , , , , , , , , , ,          13.5,    0.08104566, , 
, , , , , , , , , , , , , , ,            14,     0.0860935, , 
, , , , , , , , , , , , , , ,          14.5,     0.0912388, , 
, , , , , , , , , , , , , , ,            15,    0.09650688, , 
, , , , , , , , , , , , , , ,          15.5,     0.1020401, , 
, , , , , , , , , , , , , , ,            16,     0.1084777, , 
, , , , , , , , , , , , , , ,          16.5,     0.1169765, , 
, , , , , , , , , , , , , , ,            17,     0.1263564, , 

